epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,3925.95,1.37559,0.78433,1.25724,0.87058,0.92338,0.9503,0.59993,1.27946,0.69349,1.26156,0.0078022,0.0078022,0.0078022
113,3962.13,1.37637,0.79514,1.26546,0.87627,0.90204,0.94607,0.60362,1.28275,0.66506,1.26552,0.0077824,0.0077824,0.0077824
114,3997.91,1.38749,0.77518,1.25697,0.8565,0.9324,0.94377,0.59062,1.27321,0.66558,1.26214,0.0077626,0.0077626,0.0077626
115,4033.7,1.37712,0.7835,1.25571,0.88604,0.91741,0.95325,0.60842,1.28271,0.6461,1.26644,0.0077428,0.0077428,0.0077428
116,4069.97,1.38312,0.78263,1.25244,0.87951,0.92537,0.95577,0.59978,1.28715,0.63913,1.26485,0.007723,0.007723,0.007723
117,4105.87,1.38222,0.79252,1.27279,0.86952,0.91504,0.94536,0.59995,1.27371,0.67332,1.25927,0.0077032,0.0077032,0.0077032
118,4141.59,1.40439,0.79,1.27413,0.86822,0.92736,0.9549,0.60866,1.26589,0.66911,1.25219,0.0076834,0.0076834,0.0076834
119,4176.25,1.36729,0.77716,1.24057,0.87595,0.93444,0.95842,0.61125,1.28211,0.63106,1.26071,0.0076636,0.0076636,0.0076636
120,4210.64,1.38921,0.77827,1.28144,0.88527,0.92537,0.95749,0.6148,1.27258,0.64877,1.25502,0.0076438,0.0076438,0.0076438
121,4245.71,1.37793,0.79224,1.24708,0.88535,0.91144,0.95634,0.61012,1.27523,0.64457,1.2567,0.007624,0.007624,0.007624
122,4279.57,1.37644,0.78086,1.25176,0.8808,0.91908,0.95551,0.60997,1.27801,0.64961,1.25877,0.0076042,0.0076042,0.0076042
123,4315.41,1.38429,0.79255,1.27094,0.88204,0.91542,0.95538,0.60727,1.27377,0.65019,1.2545,0.0075844,0.0075844,0.0075844
124,4351.17,1.3944,0.79915,1.28286,0.85939,0.94428,0.95758,0.6063,1.27927,0.64656,1.2539,0.0075646,0.0075646,0.0075646
125,4386.73,1.38252,0.77184,1.2668,0.87407,0.93333,0.95727,0.60822,1.29607,0.63802,1.26732,0.0075448,0.0075448,0.0075448
126,4421.71,1.35925,0.77321,1.24678,0.86784,0.92778,0.95533,0.61319,1.28062,0.64416,1.25745,0.007525,0.007525,0.007525
127,4457.03,1.37003,0.77879,1.25953,0.88848,0.92836,0.95953,0.61075,1.28298,0.63295,1.25871,0.0075052,0.0075052,0.0075052
