epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4278.07,1.25829,0.68604,1.14325,0.87573,0.95522,0.96373,0.63299,1.23331,0.62907,1.16271,0.0088516,0.0088516,0.0088516
60,4347.73,1.28058,0.66792,1.13689,0.87617,0.93333,0.95243,0.62629,1.2284,0.62641,1.15676,0.0088318,0.0088318,0.0088318
61,4416.92,1.24139,0.66592,1.13838,0.89703,0.93617,0.96858,0.64363,1.21694,0.5732,1.16727,0.008812,0.008812,0.008812
62,4485.5,1.24989,0.65899,1.13587,0.89644,0.93532,0.96731,0.63199,1.22849,0.58817,1.17743,0.0087922,0.0087922,0.0087922
63,4555.72,1.25229,0.66471,1.13759,0.88864,0.93696,0.95995,0.63647,1.21867,0.60287,1.16213,0.0087724,0.0087724,0.0087724
64,4625.02,1.23931,0.66084,1.11835,0.89703,0.93731,0.96321,0.63661,1.21886,0.58531,1.16606,0.0087526,0.0087526,0.0087526
65,4696.31,1.24795,0.65937,1.13969,0.89532,0.92763,0.96338,0.64367,1.20095,0.59392,1.15902,0.0087328,0.0087328,0.0087328
66,4766.08,1.25127,0.66436,1.13509,0.90188,0.94204,0.96507,0.63541,1.22136,0.58899,1.15756,0.008713,0.008713,0.008713
67,4835.31,1.23557,0.65874,1.12849,0.89453,0.9403,0.95976,0.62605,1.26357,0.58225,1.19106,0.0086932,0.0086932,0.0086932
68,4904.69,1.25118,0.66243,1.13607,0.89491,0.94627,0.96856,0.64535,1.20541,0.55202,1.16834,0.0086734,0.0086734,0.0086734
69,4973.7,1.23207,0.64812,1.13634,0.89254,0.94218,0.96203,0.64587,1.19556,0.55491,1.16645,0.0086536,0.0086536,0.0086536
70,5044.57,1.24008,0.64522,1.12172,0.89244,0.94121,0.96328,0.64703,1.20212,0.58168,1.16031,0.0086338,0.0086338,0.0086338
71,5114.61,1.23105,0.64156,1.11826,0.89967,0.93685,0.96656,0.63915,1.23804,0.58842,1.18194,0.008614,0.008614,0.008614
72,5184.52,1.23219,0.64785,1.1229,0.90969,0.93731,0.96619,0.64899,1.17906,0.55528,1.13886,0.0085942,0.0085942,0.0085942
73,5249.06,1.22649,0.65938,1.12211,0.9095,0.93433,0.96865,0.64775,1.21834,0.55295,1.16069,0.0085744,0.0085744,0.0085744
74,5304.57,1.22615,0.64567,1.13291,0.91978,0.92637,0.96646,0.65287,1.18962,0.54546,1.14915,0.0085546,0.0085546,0.0085546
75,5360.49,1.21807,0.64151,1.11834,0.88407,0.93831,0.96102,0.64596,1.20274,0.57796,1.14993,0.0085348,0.0085348,0.0085348
76,5416.05,1.23296,0.64334,1.11747,0.90783,0.92438,0.96945,0.63395,1.24491,0.59135,1.18103,0.008515,0.008515,0.008515
77,5471.26,1.21686,0.6457,1.11179,0.87271,0.94826,0.96464,0.64972,1.18338,0.5569,1.15078,0.0084952,0.0084952,0.0084952
78,5526.67,1.20368,0.62826,1.1066,0.91022,0.92807,0.96496,0.65203,1.19246,0.55432,1.15298,0.0084754,0.0084754,0.0084754
