epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1556.52,2.62835,1.49228,3.08919,0.8762,0.91463,0.95471,0.61433,2.57107,1.07418,3.41047,0.0087328,0.0087328,0.0087328
66,1580.2,2.6582,1.52198,3.13349,0.87387,0.9294,0.96318,0.62518,2.55653,0.96919,3.44908,0.008713,0.008713,0.008713
67,1603.56,2.69175,1.58526,3.15712,0.89576,0.94318,0.97058,0.63047,2.62549,0.98718,3.42358,0.0086932,0.0086932,0.0086932
68,1627.68,2.63231,1.55238,3.10212,0.85262,0.95732,0.94568,0.59977,2.64803,1.04011,3.48095,0.0086734,0.0086734,0.0086734
69,1651.48,2.62965,1.4968,3.11628,0.90111,0.95732,0.96873,0.6209,2.51329,0.98162,3.39558,0.0086536,0.0086536,0.0086536
70,1675.32,2.58495,1.45513,3.1081,0.91324,0.94512,0.97194,0.64194,2.53177,0.94516,3.42198,0.0086338,0.0086338,0.0086338
71,1699.87,2.59235,1.46994,3.0724,0.92255,0.94427,0.97876,0.66228,2.47635,0.92463,3.33903,0.008614,0.008614,0.008614
72,1723.72,2.56889,1.42334,3.08828,0.87165,0.91102,0.94808,0.59552,2.69625,1.05122,3.62832,0.0085942,0.0085942,0.0085942
73,1747.75,2.59003,1.45164,3.10432,0.90568,0.96951,0.96741,0.64169,2.46861,0.93403,3.37932,0.0085744,0.0085744,0.0085744
74,1771.55,2.59693,1.50164,3.08886,0.89665,0.94512,0.95608,0.59606,2.69585,1.04763,3.60996,0.0085546,0.0085546,0.0085546
75,1795.4,2.58893,1.50393,3.08861,0.92487,0.90079,0.95318,0.64514,2.48621,0.96421,3.36639,0.0085348,0.0085348,0.0085348
76,1819.09,2.5081,1.45063,3.0501,0.90581,0.93828,0.96601,0.65606,2.39612,0.95446,3.32756,0.008515,0.008515,0.008515
77,1842.61,2.61559,1.49582,3.08747,0.89541,0.93966,0.97119,0.62902,2.50767,0.97476,3.39826,0.0084952,0.0084952,0.0084952
78,1866.54,2.5807,1.4316,3.03951,0.89218,0.95869,0.96952,0.66359,2.40534,0.9416,3.27483,0.0084754,0.0084754,0.0084754
79,1890.81,2.51858,1.42999,3.00329,0.91085,0.96951,0.97605,0.66016,2.45209,0.92297,3.32984,0.0084556,0.0084556,0.0084556
80,1914.61,2.49459,1.37656,2.99111,0.90407,0.95732,0.97469,0.64918,2.5068,0.91898,3.38551,0.0084358,0.0084358,0.0084358
81,1938.21,2.47236,1.37663,3.02156,0.94026,0.96341,0.96664,0.63794,2.48502,0.92159,3.34132,0.008416,0.008416,0.008416
82,1961.74,2.4914,1.42052,3.04001,0.92035,0.91601,0.9709,0.66415,2.39365,0.90932,3.29741,0.0083962,0.0083962,0.0083962
83,1986.23,2.44304,1.39122,2.98708,0.91308,0.96083,0.97161,0.63594,2.54191,0.97652,3.47373,0.0083764,0.0083764,0.0083764
84,2009.85,2.4472,1.39137,2.9732,0.91449,0.9782,0.96721,0.63467,2.53743,0.93439,3.44257,0.0083566,0.0083566,0.0083566
85,2033.52,2.48385,1.42781,2.98811,0.93355,0.94227,0.96146,0.63029,2.56645,0.92718,3.46243,0.0083368,0.0083368,0.0083368
86,2057.27,2.46882,1.41435,2.98393,0.92509,0.95732,0.97513,0.66182,2.39195,0.90504,3.27166,0.008317,0.008317,0.008317
87,2080.83,2.46525,1.3731,2.97425,0.9397,0.95031,0.971,0.65348,2.43291,0.8942,3.34292,0.0082972,0.0082972,0.0082972
88,2104.59,2.51017,1.35447,3.00652,0.93791,0.94512,0.97761,0.66666,2.47791,0.88139,3.31688,0.0082774,0.0082774,0.0082774
89,2128.83,2.39363,1.35705,2.91892,0.92405,0.9645,0.97566,0.65392,2.44737,0.8474,3.34721,0.0082576,0.0082576,0.0082576
90,2152.52,2.44728,1.34929,2.97386,0.93975,0.95113,0.97882,0.64869,2.52006,0.86916,3.38818,0.0082378,0.0082378,0.0082378
91,2176.47,2.45394,1.38887,2.94048,0.90314,0.93902,0.95947,0.62609,2.51937,0.93929,3.45605,0.008218,0.008218,0.008218
92,2199.97,2.46289,1.36952,2.97054,0.97431,0.92506,0.98307,0.64652,2.47858,0.92576,3.4088,0.0081982,0.0081982,0.0081982
93,2223.95,2.39368,1.34203,2.91603,0.94241,0.95732,0.98627,0.66371,2.44208,0.8876,3.3812,0.0081784,0.0081784,0.0081784
94,2247.84,2.41996,1.40635,2.96093,0.94714,0.96341,0.98686,0.65823,2.44571,0.88619,3.33121,0.0081586,0.0081586,0.0081586
95,2271.51,2.45214,1.40969,2.99728,0.91852,0.96237,0.97366,0.63679,2.58278,0.92321,3.51048,0.0081388,0.0081388,0.0081388
96,2295.16,2.40852,1.35584,2.91831,0.94655,0.91463,0.97086,0.65796,2.40756,0.87877,3.33208,0.008119,0.008119,0.008119
97,2318.55,2.3767,1.31646,2.88974,0.88754,0.96242,0.96093,0.64478,2.46319,0.96466,3.38452,0.0080992,0.0080992,0.0080992
98,2342.44,2.41743,1.38859,2.92033,0.92759,0.95732,0.97098,0.66753,2.41088,0.88761,3.2957,0.0080794,0.0080794,0.0080794
99,2366.55,2.34694,1.39128,2.90074,0.87521,0.98361,0.97451,0.63205,2.56377,0.93269,3.48793,0.0080596,0.0080596,0.0080596
100,2390.19,2.38915,1.34924,2.9222,0.93009,0.93293,0.96951,0.64671,2.45528,0.8951,3.33973,0.0080398,0.0080398,0.0080398
101,2413.95,2.34923,1.40876,2.8857,0.91751,0.94946,0.95967,0.63167,2.52288,0.88353,3.41857,0.00802,0.00802,0.00802
102,2437.54,2.31999,1.32783,2.87023,0.95556,0.95122,0.98243,0.6586,2.41155,0.86613,3.30913,0.0080002,0.0080002,0.0080002
103,2461.35,2.32282,1.3108,2.87101,0.9191,0.96985,0.96912,0.64469,2.51465,0.87523,3.44607,0.0079804,0.0079804,0.0079804
104,2485.16,2.37149,1.37179,2.93925,0.92386,0.9618,0.97673,0.64436,2.49256,0.89613,3.41847,0.0079606,0.0079606,0.0079606
105,2508.83,2.31562,1.28268,2.86268,0.95151,0.95731,0.98484,0.65479,2.37403,0.85079,3.28731,0.0079408,0.0079408,0.0079408
106,2532.68,2.31757,1.31023,2.87676,0.92498,0.9774,0.98072,0.66463,2.46912,0.86041,3.41969,0.007921,0.007921,0.007921
107,2556.04,2.28664,1.29191,2.87803,0.91416,0.97407,0.97945,0.67463,2.39204,0.84887,3.25184,0.0079012,0.0079012,0.0079012
108,2580.34,2.30611,1.28415,2.85315,0.94049,0.9636,0.97528,0.64527,2.44615,0.89725,3.37523,0.0078814,0.0078814,0.0078814
109,2604.22,2.29958,1.30447,2.87939,0.96218,0.93074,0.983,0.66373,2.3893,0.89918,3.31158,0.0078616,0.0078616,0.0078616
110,2628.09,2.29575,1.32328,2.8572,0.9253,0.94512,0.9718,0.67752,2.41233,0.84926,3.31441,0.0078418,0.0078418,0.0078418
111,2652.12,2.29218,1.30106,2.85981,0.94028,0.97561,0.98135,0.66426,2.42597,0.86331,3.36148,0.007822,0.007822,0.007822
112,2675.59,2.29441,1.23266,2.85474,0.95108,0.9483,0.98412,0.68546,2.36817,0.84041,3.28246,0.0078022,0.0078022,0.0078022
113,2699.8,2.27906,1.23638,2.86474,0.96272,0.94468,0.98445,0.68451,2.39342,0.8529,3.30851,0.0077824,0.0077824,0.0077824
114,2723.53,2.29112,1.32376,2.86099,0.94125,0.97683,0.97868,0.65678,2.43246,0.82536,3.36799,0.0077626,0.0077626,0.0077626
115,2747.13,2.23297,1.25575,2.8288,0.94225,0.92683,0.97935,0.6631,2.3922,0.84954,3.32834,0.0077428,0.0077428,0.0077428
116,2771.08,2.22333,1.2774,2.80886,0.9349,0.96329,0.9735,0.65275,2.4834,0.88901,3.42794,0.007723,0.007723,0.007723
117,2794.67,2.23898,1.31692,2.78524,0.92392,0.9627,0.98099,0.68272,2.35508,0.82791,3.26908,0.0077032,0.0077032,0.0077032
118,2818.48,2.24396,1.27633,2.85478,0.93586,0.97872,0.97892,0.64834,2.47769,0.84051,3.36539,0.0076834,0.0076834,0.0076834
119,2842.47,2.22812,1.23503,2.78268,0.93102,0.97561,0.98642,0.68146,2.42414,0.81744,3.32179,0.0076636,0.0076636,0.0076636
120,2866.32,2.23564,1.25138,2.83586,0.95708,0.95182,0.98688,0.68394,2.40384,0.82339,3.31914,0.0076438,0.0076438,0.0076438
121,2890.28,2.24656,1.27654,2.81429,0.9474,0.95732,0.98405,0.69185,2.31595,0.79838,3.21585,0.007624,0.007624,0.007624
122,2914.78,2.30298,1.35056,2.84067,0.91396,0.97161,0.96964,0.63664,2.51533,0.89778,3.42735,0.0076042,0.0076042,0.0076042
123,2938.69,2.18169,1.28116,2.76066,0.91711,0.94452,0.97485,0.66986,2.36675,0.91235,3.29067,0.0075844,0.0075844,0.0075844
124,2962.68,2.24507,1.29721,2.79327,0.95291,0.94512,0.97962,0.65945,2.3608,0.83548,3.31928,0.0075646,0.0075646,0.0075646
125,2986.5,2.21909,1.23481,2.77022,0.9359,0.95732,0.9679,0.6484,2.57451,0.88494,3.52811,0.0075448,0.0075448,0.0075448
126,3010.44,2.16125,1.24929,2.76356,0.93057,0.95732,0.96475,0.65275,2.45914,0.87532,3.36273,0.007525,0.007525,0.007525
127,3034.02,2.14028,1.25049,2.73044,0.93116,0.98977,0.98747,0.6857,2.34168,0.80293,3.25465,0.0075052,0.0075052,0.0075052
128,3057.87,2.21635,1.24404,2.77375,0.93132,0.96341,0.98074,0.65325,2.42914,0.86744,3.38079,0.0074854,0.0074854,0.0074854
129,3081.85,2.14575,1.23422,2.74789,0.92862,0.98171,0.97023,0.66148,2.38832,0.843,3.33883,0.0074656,0.0074656,0.0074656
130,3105.57,2.2286,1.28244,2.79167,0.93905,0.97561,0.98061,0.6485,2.42068,0.85244,3.3266,0.0074458,0.0074458,0.0074458
131,3129.38,2.22199,1.26577,2.78499,0.93542,0.94512,0.97065,0.66837,2.4256,0.87149,3.37436,0.007426,0.007426,0.007426
132,3152.78,2.12573,1.23275,2.71241,0.94041,0.96227,0.97886,0.66557,2.35594,0.84166,3.341,0.0074062,0.0074062,0.0074062
133,3176.36,2.20114,1.2174,2.76125,0.9466,0.97276,0.97505,0.65977,2.37359,0.84742,3.31061,0.0073864,0.0073864,0.0073864
134,3200.19,2.15736,1.26702,2.77288,0.91415,0.97561,0.97246,0.67169,2.41503,0.87402,3.34115,0.0073666,0.0073666,0.0073666
135,3223.86,2.06947,1.21017,2.6977,0.95844,0.9878,0.98308,0.68093,2.3955,0.80071,3.33692,0.0073468,0.0073468,0.0073468
136,3247.65,2.12608,1.21531,2.73122,0.96981,0.94512,0.98573,0.68033,2.40028,0.80119,3.39165,0.007327,0.007327,0.007327
137,3271.55,2.10875,1.16516,2.7023,0.96377,0.97332,0.97663,0.68057,2.34835,0.81426,3.26908,0.0073072,0.0073072,0.0073072
138,3295.47,2.14925,1.22607,2.75116,0.95165,0.9601,0.98128,0.673,2.4066,0.83909,3.36065,0.0072874,0.0072874,0.0072874
139,3319.45,2.11034,1.1849,2.72022,0.94116,0.97528,0.98469,0.6826,2.40922,0.81611,3.33636,0.0072676,0.0072676,0.0072676
140,3343.35,2.14183,1.20787,2.71973,0.95847,0.98505,0.98524,0.69848,2.33766,0.78055,3.25587,0.0072478,0.0072478,0.0072478
141,3367.52,2.14081,1.23096,2.73625,0.95745,0.96047,0.98074,0.66688,2.38462,0.8127,3.31924,0.007228,0.007228,0.007228
142,3390.97,2.09594,1.16286,2.72087,0.95782,0.96929,0.97744,0.67198,2.36874,0.84583,3.34343,0.0072082,0.0072082,0.0072082
143,3414.72,2.07458,1.15392,2.68845,0.93129,0.96951,0.97875,0.67283,2.38826,0.82987,3.31415,0.0071884,0.0071884,0.0071884
144,3438.7,2.07642,1.1782,2.68271,0.95694,0.9486,0.97755,0.64369,2.38909,0.84936,3.40243,0.0071686,0.0071686,0.0071686
145,3462.22,2.07601,1.20432,2.68641,0.93543,0.97166,0.97944,0.68717,2.32096,0.79249,3.26594,0.0071488,0.0071488,0.0071488
146,3486.16,2.06341,1.15207,2.68697,0.93502,0.9878,0.98631,0.69423,2.37168,0.77592,3.37997,0.007129,0.007129,0.007129
147,3509.9,2.02888,1.16486,2.67453,0.95693,0.94836,0.9851,0.6893,2.3761,0.83095,3.33433,0.0071092,0.0071092,0.0071092
