epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2405.12,1.30995,0.71769,1.22362,0.89307,0.92246,0.95792,0.62646,1.25496,0.62198,1.24924,0.0087922,0.0087922,0.0087922
63,2445.12,1.31103,0.71784,1.2346,0.91387,0.90796,0.96075,0.62814,1.24101,0.59686,1.23978,0.0087724,0.0087724,0.0087724
64,2484.41,1.30769,0.70619,1.22703,0.88015,0.91336,0.95135,0.60522,1.28944,0.63662,1.27822,0.0087526,0.0087526,0.0087526
65,2522.57,1.3015,0.70752,1.20361,0.86752,0.95131,0.96129,0.62318,1.26676,0.6039,1.25626,0.0087328,0.0087328,0.0087328
66,2560.72,1.30096,0.69927,1.21935,0.89124,0.91144,0.9594,0.61205,1.26537,0.62196,1.25895,0.008713,0.008713,0.008713
67,2598.94,1.29358,0.67989,1.21663,0.89402,0.92336,0.95933,0.61991,1.27487,0.61838,1.26104,0.0086932,0.0086932,0.0086932
68,2637.81,1.2925,0.68837,1.19848,0.89891,0.92637,0.96533,0.64225,1.22888,0.57592,1.2308,0.0086734,0.0086734,0.0086734
69,2676.95,1.29956,0.69939,1.21427,0.90085,0.9194,0.9634,0.6233,1.24532,0.61093,1.24155,0.0086536,0.0086536,0.0086536
70,2716.17,1.29736,0.68117,1.21382,0.89733,0.92239,0.9606,0.60333,1.3178,0.62823,1.28691,0.0086338,0.0086338,0.0086338
71,2754.79,1.28536,0.69533,1.21167,0.89626,0.91122,0.96019,0.63194,1.24411,0.595,1.23683,0.008614,0.008614,0.008614
72,2795.11,1.29356,0.70247,1.21743,0.88774,0.9285,0.96095,0.62747,1.25014,0.59704,1.24199,0.0085942,0.0085942,0.0085942
73,2833.37,1.30443,0.70533,1.2215,0.90374,0.90448,0.96368,0.63379,1.23996,0.59293,1.23461,0.0085744,0.0085744,0.0085744
74,2872.23,1.28056,0.68205,1.20547,0.89382,0.92141,0.96325,0.62555,1.2319,0.62285,1.23611,0.0085546,0.0085546,0.0085546
75,2910.8,1.28234,0.67889,1.21777,0.89036,0.93333,0.95979,0.61168,1.25123,0.59707,1.24517,0.0085348,0.0085348,0.0085348
76,2948.54,1.26948,0.67857,1.19246,0.90165,0.9194,0.96107,0.63514,1.24671,0.58674,1.23766,0.008515,0.008515,0.008515
77,2987.34,1.27427,0.68092,1.19731,0.90396,0.91642,0.95896,0.62825,1.24369,0.604,1.23482,0.0084952,0.0084952,0.0084952
78,3026.75,1.27301,0.68362,1.18132,0.9002,0.93333,0.96767,0.63459,1.23064,0.59293,1.22762,0.0084754,0.0084754,0.0084754
79,3064.93,1.26229,0.67517,1.20983,0.89826,0.93122,0.96061,0.63065,1.21956,0.58183,1.22473,0.0084556,0.0084556,0.0084556
80,3103.66,1.26729,0.67299,1.20491,0.8833,0.93035,0.95865,0.62894,1.23016,0.59962,1.2304,0.0084358,0.0084358,0.0084358
81,3143.11,1.26123,0.67263,1.18886,0.89816,0.92239,0.96256,0.6326,1.23767,0.59322,1.23162,0.008416,0.008416,0.008416
82,3182.99,1.2752,0.68704,1.18685,0.8978,0.92653,0.96309,0.63625,1.22147,0.5929,1.22687,0.0083962,0.0083962,0.0083962
83,3221.94,1.26139,0.66105,1.1969,0.92,0.89751,0.96659,0.63603,1.22328,0.58878,1.2291,0.0083764,0.0083764,0.0083764
84,3260.39,1.25519,0.66712,1.19102,0.89395,0.93106,0.96733,0.62859,1.25411,0.592,1.23969,0.0083566,0.0083566,0.0083566
85,3297.22,1.24792,0.67168,1.1938,0.8898,0.93997,0.96318,0.63108,1.22734,0.58089,1.23085,0.0083368,0.0083368,0.0083368
