epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2909.06,1.34125,0.71237,1.23289,0.87846,0.91334,0.94334,0.58412,1.34612,0.68433,1.31895,0.0088318,0.0088318,0.0088318
61,2955.54,1.30769,0.70779,1.22554,0.82757,0.91343,0.91559,0.5302,1.46201,0.82498,1.39789,0.008812,0.008812,0.008812
62,3001.97,1.31353,0.70425,1.22757,0.84248,0.92836,0.94832,0.55203,1.42854,0.72261,1.37589,0.0087922,0.0087922,0.0087922
63,3048.1,1.31611,0.70595,1.24007,0.8394,0.92568,0.93982,0.57605,1.37441,0.72894,1.33671,0.0087724,0.0087724,0.0087724
64,3094.61,1.31219,0.69334,1.229,0.86099,0.86468,0.91966,0.5503,1.40615,0.73361,1.34618,0.0087526,0.0087526,0.0087526
65,3140.85,1.31824,0.71148,1.21074,0.84801,0.92155,0.94004,0.56791,1.37888,0.7638,1.3548,0.0087328,0.0087328,0.0087328
66,3186.79,1.30362,0.69573,1.21949,0.84638,0.92097,0.9435,0.53949,1.44948,0.71039,1.39191,0.008713,0.008713,0.008713
67,3232.84,1.28598,0.66966,1.21493,0.88421,0.90945,0.95629,0.59624,1.33318,0.63268,1.29015,0.0086932,0.0086932,0.0086932
68,3279.65,1.2884,0.67647,1.19627,0.83984,0.9079,0.9351,0.56158,1.37595,0.76214,1.33625,0.0086734,0.0086734,0.0086734
69,3325.91,1.29652,0.68712,1.21114,0.88647,0.91681,0.95423,0.59002,1.35159,0.63197,1.3101,0.0086536,0.0086536,0.0086536
70,3372.39,1.29071,0.67502,1.21035,0.85549,0.91305,0.94352,0.53507,1.4793,0.72435,1.40066,0.0086338,0.0086338,0.0086338
71,3418.48,1.28184,0.67887,1.20815,0.87355,0.92438,0.95013,0.61471,1.29102,0.62061,1.26825,0.008614,0.008614,0.008614
72,3465.68,1.27899,0.67334,1.21246,0.8453,0.92338,0.93871,0.57451,1.36696,0.67883,1.32312,0.0085942,0.0085942,0.0085942
73,3511.81,1.29201,0.68131,1.21854,0.83618,0.92537,0.94768,0.57551,1.35501,0.64755,1.31556,0.0085744,0.0085744,0.0085744
74,3557.82,1.28025,0.66567,1.19867,0.88394,0.9005,0.95161,0.61282,1.28084,0.64272,1.25781,0.0085546,0.0085546,0.0085546
75,3604.15,1.27155,0.66361,1.21204,0.88334,0.91164,0.95353,0.61782,1.2817,0.59971,1.26413,0.0085348,0.0085348,0.0085348
76,3651.44,1.26133,0.6612,1.1897,0.87537,0.9194,0.95489,0.60498,1.29773,0.64535,1.27805,0.008515,0.008515,0.008515
77,3698.32,1.2784,0.67846,1.19692,0.83003,0.8995,0.93466,0.55961,1.40224,0.72263,1.36782,0.0084952,0.0084952,0.0084952
78,3744.59,1.26228,0.66675,1.17751,0.88528,0.9393,0.96208,0.62546,1.26961,0.60175,1.25443,0.0084754,0.0084754,0.0084754
79,3791.6,1.25835,0.66384,1.2059,0.89172,0.9204,0.95691,0.60496,1.31994,0.60904,1.29237,0.0084556,0.0084556,0.0084556
